"Brand","Stars","Count"
"WhatIf? Foods",4.25,2
"Xiuhe",4.25,1
"Yamamoto",4.25,7
"Jingqi",4.21875,8
"SuperMi",4.21875,8
"ABC",4.21428571428571,14
"Vit's",4.21153846153846,13
"Wugudaochang",4.20454545454545,11
"Eat & Go",4.2,5
"Forest Noodles",4.1875,4
"Maison de Coree",4.1875,4
"Takamori Kosan",4.16071428571429,14
"Itsuki",4.15625,24
"Love Cook",4.15,5
"Vite Ramen",4.13888888888889,9
"Deshome",4.13461538461539,13
"FMF",4.125,2
"Ikeda Shoku",4.125,2
"JFC",4.125,2
"Saji",4.125,2
"Sugakiya",4.125,2
"TableMark",4.125,2
"Yamamoto Seifun",4.11111111111111,9
"HoMyeonDang",4.1,5
"Samyang Foods",4.09313725490196,102
"Mi Sedaap",4.08928571428571,14
"Mr. Lee's Noodles",4.08928571428571,14
"A-Sha Dry Noodle",4.07692307692308,26
"Kinchan",4.07142857142857,7
"Wu-Mu",4.06521739130435,23
"Dragonfly",4.05769230769231,13
"Sakurai Foods",4.05769230769231,13
"Sau Tao",4.05208333333333,48
"Nongshim",4.04,125
"Paldo",4.03235294117647,85
"New Touch",4.02777777777778,18
"Uni-President",4.02777777777778,18
"Indomie",4.02542372881356,59
"1 To 3 Noodles",4,1
"Assi",4,1
"Being Blue",4,2
"Choumama",4,1
"Chuanbei",4,1
"Curry Prince",4,1
"Fantastic Noodles",4,2
"Fenweixiang",4,1
"Fox",4,1
"Fu Chang Chinese Noodle Company",4,1
"GB Company",4,1
"Good Tto Leu Foods",4,1
"Hi-Myon",4,2
"Hide Chan",4,1
"House Of Delicious Taste",4,1
"Kenmin",4,1
"Kizuki Ramen & Izakaya",4,1
"Kolson",4,2
"La Fonte",4,2
"Lau Liu tou",4,1
"LeeZen",4,2
"Mamee",4,37
"Meimen",4,3
"Miandom",4,3
"Miracle Noodle",4,1
"Muso",4,1
"Nakaya Shouten",4,1
"New Way",4,1
"O'Taste",4,1
"Pangdama",4,1
"Pran",4,2
"S&S",4,1
"Samurai Ramen",4,1
"Soup De Pasta",4,1
"Souper",4,2
"Tapatio",4,6
"World O Noodle",4,2
"Yatekomo",4,3
"Mike's Mighty Good Craft Ramen",3.97222222222222,9
"Vi Huong",3.95833333333333,6
"KOKA",3.95512820512821,39
"Amianda",3.95,10
"Wu Mu",3.95,10
"Mykuali",3.9375,4
"Mikka",3.91666666666667,3
"MAMA",3.90909090909091,33
"JML",3.9051724137931,29
"Little Couples Q Noodle",3.9,5
"Sakura Noodle",3.9,5
"Super Bihun",3.9,5
"Myojo",3.89462809917355,121
"Alhami",3.89285714285714,7
"Payless",3.89285714285714,7
"Sarimi",3.89285714285714,7
"Nissin",3.8814870259481,501
"Yum Yum",3.8804347826087,23
"Cao Is Starving",3.875,4
"Daisho",3.875,4
"Happy Family",3.875,2
"J.J.",3.875,2
"Kormosa",3.875,2
"Premiere",3.875,2
"Ramen Express By Chef Woo",3.875,6
"Sugakiya Foods",3.875,2
"Sunaoshi",3.875,4
"Tasty Bite",3.875,6
"Unif-100",3.875,2
"Master Kong",3.87068965517241,29
"Menraku",3.86666666666667,15
"Daikoku",3.859375,16
"Baixiang",3.85,5
"Kabuto Noodles",3.85,5
"Hao Way",3.84375,8
"Gurimi",3.83333333333333,3
"Ruski",3.83333333333333,6
"Emart",3.82142857142857,7
"Adabi",3.8125,4
"Pulmuone",3.8125,8
"Tokushima Seifun",3.8125,4
"iMee",3.80555555555556,9
"GaGa",3.78571428571429,7
"Sapporo Ichiban",3.78289473684211,76
"Sichuan Baijia",3.77173913043478,23
"Kang Shi Fu",3.77083333333333,12
"Wei Lih",3.76785714285714,28
"Ao Ba Ba",3.75,1
"Ching's Secret",3.75,5
"COCO 2.0",3.75,1
"E-mi",3.75,2
"Easybab",3.75,1
"Farmer's Heart",3.75,1
"Goku Uma",3.75,3
"Healtimie",3.75,2
"Hite",3.75,1
"Hosoonyi",3.75,1
"Ibumie",3.75,10
"Kaset",3.75,1
"Kin-Dee",3.75,2
"Koka",3.75,18
"Lau Liu Tou",3.75,1
"Luosiking",3.75,2
"Mamee Shinsegae",3.75,2
"Men-Sunaoshi",3.75,2
"My Friend",3.75,1
"Myramen",3.75,3
"Omachi",3.75,1
"One Culture Foods",3.75,2
"Osaka Ramen",3.75,1
"Pama",3.75,4
"Pop Bihun",3.75,3
"Quero",3.75,1
"Rollton",3.75,1
"Saikebon",3.75,1
"Sanrio",3.75,1
"Shanjinshan",3.75,1
"Shun Savory",3.75,3
"Sokensha",3.75,2
"Sura",3.75,1
"Three Meters Noodles",3.75,4
"Toei",3.75,4
"TRDP",3.75,1
"Tropicana Slim",3.75,2
"Uncle Sun",3.75,4
"Young Poong",3.75,1
"Zow Zow",3.75,1
"Baixiang Noodles",3.7,5
"Mi E-Zee",3.6875,4
"Oni Hot Pot",3.6875,4
"San-Iku",3.6875,4
"Thai Chef",3.6875,4
"Fuku",3.675,10
"Lee Fah Mee",3.66666666666667,3
"LMF",3.66666666666667,3
"Morre",3.66666666666667,3
"Maruchan",3.65377697841727,139
"Dream Kitchen",3.65,5
"Fujiwara",3.63888888888889,9
"Suimin",3.63636363636364,11
"Mama",3.62887323943662,71
"7 Select",3.625,2
"Chef Woo",3.625,4
"Du Du",3.625,2
"Hankow",3.625,2
"Itomen",3.625,14
"Liu Quan",3.625,2
"Miliket",3.625,2
"Oyatsu",3.625,4
"Trader Joe's",3.625,2
"Wei Chuan",3.625,2
"Maggi",3.59358974358974,39
"Golden Mie",3.58333333333333,3
"Pirkka",3.58333333333333,3
"Little Cook",3.57352941176471,17
"Nagatanien",3.5625,4
"Wang",3.5625,12
"Unif",3.55384615384615,13
"Shi Zu Ren",3.54166666666667,6
"Vina Acecook",3.53676470588235,34
"Asian Thai Foods",3.51785714285714,14
"Vedan",3.51785714285714,28
"7 Select/Nissin",3.5,1
"A1",3.5,4
"Amino",3.5,3
"Baltix",3.5,2
"Banzai",3.5,1
"Bonasia",3.5,4
"Burung Layang Terbang",3.5,1
"Chuan Wei Wang",3.5,2
"Da Long Yi",3.5,1
"Doll",3.5,24
"Econsave",3.5,1
"Fuji Mengyo",3.5,1
"GGE",3.5,1
"Guangyou",3.5,1
"Haioreum",3.5,1
"Jub Jub",3.5,1
"Kamfen",3.5,15
"Katoz",3.5,1
"Kay's",3.5,1
"Kim's Bowl",3.5,1
"Lele",3.5,1
"Lishan Food Manufacturing",3.5,1
"Mibena",3.5,1
"Migawon",3.5,1
"Mivina",3.5,1
"Mum Ngon",3.5,1
"Nissin-Miojo",3.5,2
"Nissin ",3.5,1
"No Brand",3.5,1
"nunu",3.5,1
"Ohsung",3.5,3
"Palkin",3.5,1
"Panco",3.5,1
"Ped Chef",3.5,1
"Picnic",3.5,1
"Pringles",3.5,1
"Sakurai",3.5,1
"Shuang Ren Hsu",3.5,1
"Street Noodles",3.5,1
"Tasty.ly",3.5,2
"Thien Huong Food",3.5,1
"Yamasa",3.5,1
"Yum-Mie",3.5,1
"Ottogi",3.48076923076923,52
"Annie Chun's",3.47916666666667,12
"Kenko Foods",3.47727272727273,11
"Ko-Lee",3.475,10
"Chencun",3.46428571428571,7
"Rhee Bros Assi",3.45833333333333,6
"Asia Gold",3.4375,4
"Gefen",3.4375,4
"Goku-Uma",3.4375,4
"Rooster",3.4375,8
"Tokyo Noodle",3.4375,4
"Binh Tay",3.41666666666667,3
"Pamana",3.41666666666667,3
"Thai Choice",3.41666666666667,3
"Wei Wei",3.41666666666667,3
"Aji-no-men",3.4,5
"Big Bon",3.375,4
"Bon Go Jang",3.375,2
"Mr. Noodle",3.375,6
"Thai Kitchen",3.375,10
"Unox",3.375,6
"Samyang",3.33947368421053,19
"Cheetos",3.33333333333333,3
"Jongga",3.33333333333333,3
"Quickchow",3.33333333333333,6
"Bamee",3.3,5
"Cintan",3.3,5
"Shirakiku",3.29545454545455,11
"Lucky Me!",3.29411764705882,34
"Mee Jang",3.28571428571429,7
"Nissin Miojo",3.275,10
"Ve Wong",3.2546875,32
"Doshirak",3.25,1
"Great Value",3.25,7
"Han's South Korea",3.25,3
"Jinbo Selection",3.25,1
"Kailo",3.25,3
"Kim & Kim",3.25,1
"La Moderna",3.25,1
"Niudafang",3.25,1
"Papa",3.25,1
"Q",3.25,1
"Sahmyook",3.25,1
"Thai Pavilion",3.25,3
"Thien Houng Foods",3.25,1
"Yamadai",3.25,1
"Saigon Ve Wong",3.23076923076923,13
"Shan",3.2,5
"Tradition",3.2,5
"Trident",3.2,5
"Four Seas",3.1875,8
"Acecook",3.1712962962963,54
"Lotus Foods",3.16666666666667,3
"Canton",3.15,5
"Gau Do",3.125,2
"Golden Wheat",3.125,12
"ICA",3.125,2
"Mr. Udon",3.125,4
"Unif / Tung-I",3.11363636363636,11
"Fashion Food",3.08333333333333,3
"Six Fortune",3.08333333333333,6
"Vifon",3.00789473684211,38
"Ajinatori",3,2
"Cap Atoom Bulan",3,1
"Culley's",3,1
"Daraz",3,1
"iNoodle",3,2
"Mug Shot",3,2
"Nona Lim",3,3
"Pot Noodle",3,11
"Royal Umbrella",3,2
"Sanyang",3,1
"Sao Tao",3,4
"Shoo Loong Kan",3,1
"Springlife",3,1
"Sunlee",3,8
"Taim",3,3
"Tung-I",3,1
"Xiao Long Kan",3,1
"Mama Pat's",2.96428571428571,7
"Super",2.96428571428571,7
"Batchelors",2.921875,16
"EDO Pack",2.91666666666667,3
"Peyoung",2.91666666666667,3
"United",2.91666666666667,3
"No Name",2.9,5
"CJ CheilJedang",2.875,2
"Fantastic",2.875,6
"Gomex",2.875,2
"Wai Wai",2.83387096774194,31
"Knorr",2.8125,8
"Snapdragon",2.8125,8
"A-One",2.75,4
"Just Way",2.75,2
"Liang Cheng Mai",2.75,2
"President Rice",2.75,1
"Qin Zong",2.75,1
"Rap Snacks",2.75,3
"Singa-Me",2.75,3
"Tiger Tiger",2.75,3
"Sainsbury's",2.7,5
"Fortune",2.6875,4
"Chewy",2.625,8
"Long Jun Hang",2.625,2
"Paldo Vina",2.58333333333333,3
"Panda Signature",2.52083333333333,12
"Boss",2.5,1
"Chaudhary's Wai Wai",2.5,1
"IbuRamen",2.5,3
"Jinmailang",2.5,3
"Kumamoto",2.5,1
"Mexi-Ramen",2.5,1
"O Sung",2.5,1
"Rocket Brand",2.5,1
"Ten-In",2.5,2
"Urban Noodle",2.5,5
"Buitoni",2.41666666666667,3
"Fu Chung",2.41666666666667,3
"Lipton",2.375,2
"Noah Foods",2.375,2
"Sawadee",2.375,4
"Global Inspiration",2.25,1
"Nakaki",2.25,1
"Tokachimen Koubou",2.25,1
"Conimex",2.20833333333333,6
"Ripe'n'Dry",2.16666666666667,3
"Sichuan Guangyou",2.125,4
"Taihodien",2.125,2
"Sunlight",2.1,1
"Long Kow",2.06,5
"Koyo",2.03571428571429,7
"Ajinomoto",2,1
"Cigala",2,1
"Hua Feng Noodle Expert",2,2
"Lien Ying",2,1
"Micoem",2,2
"Shibu Ramen",2,1
"Star Anise Foods",2,2
"Suraj",2,1
"Sutah",2,1
"Taihodien Restaurant",2,1
"Teriyaki Time",2,1
"Thai Smile",2,3
"Yumei",2,3
"Azami",1.95,5
"Mr. Noodles",1.890625,16
"Fashion Foods",1.8,5
"Noodle Time",1.75,2
"Right Foods",1.75,1
"Sunny Maid",1.75,1
"Western Family",1.70833333333333,6
"Koh Thai",1.6875,4
"Tesco",1.5625,4
"GreeNoodle",1.5,4
"Helper",1.5,1
"Lishan",1.5,1
"Mie Sedaap",1.5,1
"Newgate Express",1.5,4
"Nora Kitchen",1.5,1
"Smack",1.5,1
"Baijia",1.25,11
"Tayho",1.25,1
"Authentically Asian",1,1
"Campbell's",1,3
"China Best",1,1
"Guava Story",1,1
"Nakaki Food",1,1
"Nasoya",1,1
"Unzen",1,1
"Weh Lih",1,1
"Mo Xiao Xian",0.5,1
"Nan Jie Cun",0.5,1
"Unif Tung-I",0.5,1
"Westbrae",0.5,1
"Lee Kum Kee",0.375,2
"Chongqing Suanlabao Food Co., Ltd.",0.25,1
"Crystal Noodle",0.25,1
"Mitoku",0.25,1
"Nan Hsing",0.25,1
"Roland",0.125,2
"Bowlfull",0,2
"Dr. McDougall's",0,1
"Fairy Bridge",0,1
"Hikari Miso",0,1
"Hsin Tung Yang",0,1
"Isoyama Shoji",0,1
"Kim Ve Wong",0,1
"One Dish Asia",0,1
"Simply Asia",0,1
"Tiger",0,1
"US Canning",0,1
"Yibin",0,1
